WINNER,CRIMINALCASES,AGE,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,"OVER TOTAL ELECTORS 
IN CONSTITUENCY","OVER TOTAL VOTES POLLED 
IN CONSTITUENCY",TOTAL ELECTORS,STATE,CONSTITUENCY,NAME,PARTY,SYMBOL,GENDER,CATEGORY,EDUCATION
1,2.5,52.0,3099414,231450.0,376892,482.0,377374,25.33068419,35.4682479,1489790.0,Telangana,ADILABAD,SOYAM BAPU RAO,BJP,Lotus,MALE,ST,scholl level
0,0.0,54.0,18477888,847000.0,318665,149.0,318814,21.39992885,29.96436953,1489790.0,Telangana,ADILABAD,Godam Nagesh,TRS,Car,MALE,ST,Post Graduate/Doctorate
0,2.5,52.0,36491000,15244926.875,314057,181.0,314238,21.09277146,29.53428505,1489790.0,Telangana,ADILABAD,RATHOD RAMESH,INC,Hand,MALE,ST,scholl level
1,2.5,58.0,74274036,8606522.0,644459,2416.0,646875,33.38382301,56.46461464,1937690.0,Uttar Pradesh,AGRA,Satyapal Singh Baghel,BJP,Lotus,MALE,SC,Post Graduate/Doctorate
0,0.0,47.0,133784385,15244926.875,434199,1130.0,435329,22.46639039,37.99912537,1937690.0,Uttar Pradesh,AGRA,Manoj Kumar Soni,BSP,Elephant,MALE,SC,Post Graduate/Doctorate
0,0.0,54.0,55075753,0.0,44877,272.0,45149,2.3300424730000002,3.9409791480000003,1937690.0,Uttar Pradesh,AGRA,Preeta Harit,INC,Hand,FEMALE,SC,Post Graduate/Doctorate
1,0.0,37.0,168664576,2623964.0,696961,3718.25,704660,37.85653348,58.42515898,1861396.0,Maharashtra,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,BJP,Lotus,MALE,GENERAL,Post Graduate/Doctorate
0,1.0,34.0,94488381,15244926.875,419364,3718.25,423186,22.73487211,35.08743129,1861396.0,Maharashtra,AHMADNAGAR,SANGRAM ARUNKAKA JAGTAP,NCP,Clock,MALE,GENERAL,Graduate
0,0.0,62.0,13949000,1400000.0,31644,163.0,31807,1.7087712659999998,2.6371995459999997,1861396.0,Maharashtra,AHMADNAGAR,SUDHAKAR LAXMAN AVHAD,VBA,Cup & Saucer,MALE,GENERAL,Graduate
1,0.0,58.0,74699690,6252577.0,745810,3718.25,749834,41.3849704,67.00546171,1811851.0,Gujarat,AHMEDABAD EAST,Patel Hasmukhbhai Somabhai,BJP,Lotus,MALE,GENERAL,Illiterate
0,2.5,38.0,40375418,3121888.0,312883,2621.0,315504,17.41335242,28.19356176,1811851.0,Gujarat,AHMEDABAD EAST,Gitaben Patel,INC,Hand,FEMALE,GENERAL,scholl level
1,0.0,69.0,89474039,0.0,638241,3381.0,641622,39.04432316,64.21145018,1643317.0,Gujarat,AHMEDABAD WEST,DR. KIRIT P. SOLANKI,BJP,Lotus,MALE,SC,Post Graduate/Doctorate
0,0.0,68.0,219403654,15244926.875,317797,2279.0,320076,19.47743497,32.03216867,1643317.0,Gujarat,AHMEDABAD WEST,RAJU PARMAR,INC,Hand,MALE,SC,Graduate
0,0.0,66.0,5354000,0.0,9909,119.0,10028,0.610229189,1.003569738,1643317.0,Gujarat,AHMEDABAD WEST,TRIBHOVANDAS KARSANDAS VAGHELA,BSP,Elephant,MALE,SC,scholl level
1,0.0,64.0,85101774,8319942.0,811091,3718.25,815076,43.4395362,64.52234957,1876346.0,Rajasthan,AJMER,Bhagirath Chaudhary,BJP,Lotus,MALE,GENERAL,scholl level
0,0.0,40.0,219403654,15244926.875,397420,1232.0,398652,21.24618807,31.55774885,1876346.0,Rajasthan,AJMER,Riju Jhunjhunwala,INC,Hand,MALE,GENERAL,Graduate
0,0.0,60.0,41740458,890000.0,13547,71.0,13618,0.725772326,1.078016475,1876346.0,Rajasthan,AJMER,Durga Lal Regar,BSP,Elephant,MALE,SC,Post Graduate/Doctorate
0,0.0,60.0,25792244,268705.0,13036,5.0,13041,0.695021068,1.032340494,1876346.0,Rajasthan,AJMER,Vishram Babu,APoI,Coat,MALE,SC,Post Graduate/Doctorate
1,0.0,64.0,28546617,559965.0,577603,3679.0,581282,32.91292046,56.62023333,1766121.0,Uttar Pradesh,AKBARPUR,Devendra Singh 'Bhole',BJP,Lotus,MALE,GENERAL,scholl level
0,0.0,46.0,134448979,13619617.0,304553,1587.0,306140,17.33403317,29.81980903,1766121.0,Uttar Pradesh,AKBARPUR,Nisha Sachan,BSP,Elephant,FEMALE,GENERAL,Post Graduate/Doctorate
0,1.0,58.0,19097262,8600000.0,107592,749.0,108341,6.134404155,10.55304086,1766121.0,Uttar Pradesh,AKBARPUR,Rajaram Pal,INC,Hand,MALE,GENERAL,Graduate
1,1.0,60.0,77153230,14985774.0,552898,1546.0,554444,29.72620712,49.49575293,1865169.0,Maharashtra,AKOLA,Dhotre Sanjay Shamrao,BJP,Lotus,MALE,GENERAL,Graduate
0,0.0,64.0,58722916,0.0,278241,607.0,278848,14.95028064,24.89303106,1865169.0,Maharashtra,AKOLA,Ambedkar (Adv) Prakash Yashwant,VBA,Cup & Saucer,MALE,GENERAL,Graduate
0,1.0,60.0,14947292,483635.0,254094,276.0,254370,13.63790627,22.70785629,1865169.0,Maharashtra,AKOLA,Hidayatullah Barakatullah Patel,INC,Hand,MALE,GENERAL,scholl level
1,2.0,54.0,15268906,2220700.0,443003,2967.0,445970,32.87164969,40.91047525,1356701.0,Kerala,ALAPPUZHA,Adv. A M ARIFF,CPI(M),"Hammer, Sickle and Star",MALE,GENERAL,Graduate
0,0.0,52.0,18665943,825000.0,433790,1706.0,435496,32.09962991,39.94965655,1356701.0,Kerala,ALAPPUZHA,Adv. SHANIMOL OSMAN,INC,Hand,FEMALE,GENERAL,Post Graduate/Doctorate
0,1.0,64.0,16484722,0.0,186278,1451.0,187729,13.83716825,17.22107453,1356701.0,Kerala,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,BJP,Lotus,MALE,GENERAL,Post Graduate/Doctorate
1,2.5,32.0,1152816,0.0,532493,1322.0,533815,42.13905339,52.36684011,1266794.0,Kerala,ALATHUR,RAMYA HARIDAS,INC,Hand,FEMALE,SC,scholl level
0,0.0,44.0,4083003,519379.0,373696,1151.0,374847,29.59020962,36.77220182,1266794.0,Kerala,ALATHUR,DR. P.K.BIJU,CPI(M),"Hammer, Sickle and Star",MALE,SC,Post Graduate/Doctorate
0,2.5,61.0,1261055,685000.0,89575,262.0,89837,7.091681836,8.812940466,1266794.0,Kerala,ALATHUR,T.V.BABU,BDJS,Pot,MALE,SC,scholl level
1,0.0,46.0,109522559,15244926.875,651805,3718.25,656215,34.77322936,56.37828085,1887127.0,Uttar Pradesh,ALIGARH,SATISH KUMAR GAUTAM,BJP,Lotus,MALE,GENERAL,scholl level
0,0.0,51.0,219403654,0.0,424890,2064.0,426954,22.62455044,36.68147257,1887127.0,Uttar Pradesh,ALIGARH,DR. AJEET BALIYAN,BSP,Elephant,MALE,GENERAL,Post Graduate/Doctorate
